B_med_010
Frequency	LZFmax [dB]	LZSmax [dB]	LZFmin [dB]	LZSmin [dB]	LZeq [dB]
12,5 Hz	49,02	49,02	45,66	45,66	47,76
16 Hz	53,13	53,13	50,76	50,76	51,89
20 Hz	65,47	65,47	64,04	64,04	64,63
25 Hz	59,89	59,23	55,39	56,02	57,29
31,5 Hz	63,11	62,7	60,57	61,03	61,78
40 Hz	78,2	77,68	74,78	75,33	76,56
50 Hz	69,89	69,08	67,23	67,68	68,44
63 Hz	62,8	62,11	58,29	59,97	60,97
80 Hz	69,78	68,94	63,48	64,58	66,65
100 Hz	76,35	75,18	70,68	73,34	74,47
125 Hz	83,78	81,84	73	75,79	79,4
160 Hz	79,47	77,59	70,23	73,74	75,91
200 Hz	80,13	78,15	72,08	74,56	76,61
250 Hz	72,5	71,07	65,64	68,89	69,89
315 Hz	67,23	66,05	61,74	62,96	64,81
400 Hz	71,05	68,7	63,91	66,68	67,62
500 Hz	65,31	62,88	59,76	61,17	61,8
630 Hz	58,93	57,25	53,77	55,65	56,35
800 Hz	62,59	60,66	56,62	58,83	59,76
1 kHz	59,2	57,68	53,66	55,38	56,32
1,25 kHz	58,32	56,66	54,41	55,62	56,17
1,6 kHz	56,42	54,81	51,87	53,22	53,8
2 kHz	56,07	54,35	51,36	52,61	53,27
2,5 kHz	50,59	49,52	47,48	48,38	48,9
3,15 kHz	47,39	46,57	43,54	44,78	45,64
4 kHz	43,58	42,5	40,14	41,07	41,83
5 kHz	40,42	39,3	35,83	37,49	38,41
6,3 kHz	33,68	32,63	29,28	30,8	31,68
8 kHz	27,99	27,19	21,95	24,28	25,75
10 kHz	23,45	22,2	16,22	19	20,28
12,5 kHz	17,88	16,69	11,08	13,43	14,76
16 kHz	13,4	11,93	7,57	8,57	9,88
20 kHz	11,93	9,88	8,08	8,18	8,76
A	73,23	72,25	70,16	70,97	71,67
Z	86,51	85,47	81,95	83,29	84,47
