B_med_003
Frequency	LZFmax [dB]	LZSmax [dB]	LZFmin [dB]	LZSmin [dB]	LZeq [dB]
12,5 Hz	45,05	45,05	38,34	38,34	41,37
16 Hz	52,63	52,63	43,34	43,34	45,98
20 Hz	59,22	59,22	56,59	56,59	57,86
25 Hz	52,91	52,09	47,47	48,16	49,96
31,5 Hz	64,27	63,45	59,54	60,25	62,06
40 Hz	80,25	79,31	75,55	76,23	77,65
50 Hz	83,24	81,5	72,98	74,88	78,43
63 Hz	79,02	76,41	70,36	72,36	74,28
80 Hz	75,35	74,36	70,24	71,5	72,95
100 Hz	78,42	75,85	69,93	73,05	74,61
125 Hz	83,63	81,47	72	76,58	79,77
160 Hz	79,07	77,1	73,12	75,32	76,19
200 Hz	81,49	79,54	73,04	75,6	77,76
250 Hz	82,18	79,41	75,19	77,44	78,42
315 Hz	83,33	81,25	77,93	79,83	80,58
400 Hz	87,44	85,61	82,22	84,06	84,94
500 Hz	98,42	96,05	91,14	93,44	94,89
630 Hz	85,79	84,45	81,35	82,7	83,57
800 Hz	87,15	85,63	83,63	84,67	85,24
1 kHz	88,45	87,25	85,03	86,04	86,66
1,25 kHz	82,13	80,99	79,12	79,93	80,53
1,6 kHz	83,24	82,17	79,7	80,97	81,57
2 kHz	79,64	78,98	77,46	78,08	78,66
2,5 kHz	79,37	78,43	76,94	77,47	78,15
3,15 kHz	79,99	78,86	77,04	77,53	78,44
4 kHz	77,78	76,58	74,01	75,35	76,19
5 kHz	72,99	72,25	70,18	71,35	71,93
6,3 kHz	69,12	68,41	65,76	67,19	67,95
8 kHz	65,48	64,46	61,39	63,05	63,91
10 kHz	62,07	60,85	56,77	58,87	60,12
12,5 kHz	58,97	57,22	52,02	54,89	56,42
16 kHz	51,95	50,51	44,72	48,09	49,5
20 kHz	44,36	42,49	35,76	39,42	41,31
A	97,24	95,56	93,4	94,17	94,95
Z	99,9	98,11	95,52	96,55	97,38
